Date,Open,High,Low,Close,Adj Close,Volume
2017-11-27,22.360001,22.400000,21.700001,21.820000,21.820000,19671400
2017-11-28,21.850000,22.150000,21.559999,21.830000,21.830000,13845600
2017-11-29,21.820000,22.110001,20.520000,20.790001,20.790001,23684000
2017-11-30,21.010000,21.120001,20.510000,20.580000,20.580000,15823200
2017-12-01,20.520000,20.980000,20.120001,20.709999,20.709999,15270800
2017-12-04,20.850000,20.940001,20.230000,20.400000,20.400000,11639800
2017-12-05,20.299999,20.930000,20.299999,20.770000,20.770000,10645300
2017-12-06,20.520000,21.400000,20.400000,21.090000,21.090000,14023500
2017-12-07,21.059999,21.450001,20.969999,21.010000,21.010000,11856400
2017-12-08,21.150000,21.400000,20.950001,21.100000,21.100000,14870500
2017-12-11,21.100000,22.200001,21.100000,22.049999,22.049999,17244400
2017-12-12,21.770000,22.250000,21.629999,21.650000,21.650000,14296800
2017-12-13,21.770000,21.980000,21.520000,21.660000,21.660000,17283600
2017-12-14,21.790001,23.240000,21.620001,22.580000,22.580000,34074300
2017-12-15,22.610001,22.860001,22.190001,22.230000,22.230000,17957600
2017-12-18,23.230000,24.740000,23.129999,24.680000,24.680000,48965900
2017-12-19,24.610001,25.490000,23.920000,25.080000,25.080000,46040800
2017-12-20,25.440001,25.440001,24.690001,25.200001,25.200001,20687700
2017-12-21,25.059999,25.559999,24.700001,25.049999,25.049999,19597700
2017-12-22,25.030001,25.270000,24.379999,24.459999,24.459999,16112900
2017-12-26,24.260000,24.570000,24.129999,24.260000,24.260000,10123100
2017-12-27,24.260000,24.540001,24.070000,24.230000,24.230000,9118100
2017-12-28,24.250000,24.600000,24.170000,24.309999,24.309999,9774700
2017-12-29,24.270000,24.330000,23.910000,24.010000,24.010000,10393700
2018-01-02,24.070000,24.570000,23.850000,24.510000,24.510000,15297200
2018-01-03,24.559999,24.680000,24.070000,24.450001,24.450001,12832600
2018-01-04,24.500000,24.590000,23.690001,23.990000,23.990000,17653500
2018-01-05,24.070000,24.570000,23.879999,24.320000,24.320000,14953200
2018-01-08,24.370001,24.780001,23.879999,24.590000,24.590000,17831300
2018-01-09,24.629999,24.709999,24.070000,24.170000,24.170000,12587100
2018-01-10,24.000000,24.420000,23.760000,24.250000,24.250000,10420700
2018-01-11,24.299999,24.370001,23.900000,24.350000,24.350000,11670400
2018-01-12,24.940001,25.850000,24.930000,25.410000,25.410000,37046100
2018-01-16,25.580000,25.709999,24.510000,24.660000,24.660000,32340700
2018-01-17,24.840000,24.950001,24.219999,24.559999,24.559999,17006600
2018-01-18,24.500000,24.520000,23.719999,24.040001,24.040001,21118500
2018-01-19,24.120001,24.219999,23.500000,23.660000,23.660000,17529700
2018-01-22,23.170000,23.500000,22.860001,23.320000,23.320000,23010600
2018-01-23,22.510000,23.170000,22.410000,22.750000,22.750000,35321200
2018-01-24,22.840000,23.049999,22.100000,22.370001,22.370001,23186500
2018-01-25,22.500000,22.680000,22.040001,22.160000,22.160000,15501700
2018-01-26,22.389999,24.350000,22.299999,24.270000,24.270000,49683900
2018-01-29,24.400000,25.549999,24.100000,25.180000,25.180000,52739600
2018-01-30,24.830000,26.400000,24.549999,25.620001,25.620001,52388100
2018-01-31,25.610001,26.650000,25.139999,25.809999,25.809999,40451900
2018-02-01,25.520000,27.330000,25.440001,27.139999,27.139999,47582600
2018-02-02,26.559999,27.030001,25.700001,25.920000,25.920000,32492100
2018-02-05,25.370001,26.639999,24.100000,25.129999,25.129999,33918400
2018-02-06,24.590000,25.580000,24.200001,25.240000,25.240000,26646500
2018-02-07,25.830000,27.080000,25.760000,26.910000,26.910000,48909300
2018-02-08,34.150002,35.000000,29.709999,30.180000,30.180000,162434400
2018-02-09,30.370001,31.809999,29.680000,31.510000,31.510000,67181200
2018-02-12,31.440001,31.900000,30.860001,30.950001,30.950001,37001000
2018-02-13,30.670000,33.650002,30.639999,33.439999,33.439999,57653000
2018-02-14,32.849998,33.980000,32.549999,33.750000,33.750000,39339200
2018-02-15,34.029999,34.380001,33.060001,33.610001,33.610001,32020500
2018-02-16,33.369999,33.500000,32.680000,33.060001,33.060001,27901000
2018-02-20,32.880001,33.570000,32.680000,32.840000,32.840000,22766700
2018-02-21,33.029999,34.060001,32.650002,33.380001,33.380001,29589300
2018-02-22,33.430000,33.450001,31.629999,32.110001,32.110001,29184100
2018-02-23,32.200001,32.689999,31.969999,32.660000,32.660000,17283400
2018-02-26,32.700001,32.700001,31.959999,32.160000,32.160000,15766300
2018-02-27,31.910000,32.209999,31.260000,31.320000,31.320000,16544000
2018-02-28,31.500000,32.849998,31.469999,31.860001,31.860001,24180100
2018-03-01,31.950001,32.560001,31.260000,32.240002,32.240002,25032500
2018-03-02,31.930000,33.029999,31.490000,33.000000,33.000000,24918900
2018-03-05,32.900002,34.950001,32.580002,34.580002,34.580002,34840000
